City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,edinburgh of the seven seas,-37.0676,-12.3116,14.08,81,92,10.73,SH,1688821752
1,grytviken,-54.2811,-36.5092,-6.97,81,18,4.71,GS,1688821753
2,dolores,-36.3132,-57.6792,8.41,71,100,2.76,AR,1688821691
3,prince rupert,54.3161,-130.3201,15.07,91,82,0.35,CA,1688821754
4,port-aux-francais,-49.35,70.2167,1.85,76,100,6.05,TF,1688821754
5,pangai,-19.8,-174.35,24.24,71,9,4.27,TO,1688821754
6,port saint john's,-31.6229,29.5448,22.54,65,32,4.24,ZA,1688821754
7,waitangi,-43.9535,-176.5597,9.34,92,27,4.02,NZ,1688821755
8,gallup,35.5281,-108.7426,15.42,44,0,2.06,US,1688821755
9,adamstown,-25.066,-130.1015,21.26,70,100,6.94,PN,1688821755
10,isafjordur,66.0755,-23.124,10.02,81,0,5.14,IS,1688821755
11,ar ruways,24.1103,52.7306,35.66,50,94,4.98,AE,1688821756
12,ribeira grande,38.5167,-28.7,22.22,64,20,3.09,PT,1688821756
13,udachny,66.4167,112.4,18.42,44,5,3.55,RU,1688821757
14,fortuna,40.5982,-124.1573,13.19,96,100,2.57,US,1688821757
15,west island,-12.1568,96.8225,25.99,78,40,6.17,CC,1688821757
16,tuy hoa,13.0833,109.3,26.66,89,65,4.05,VN,1688821757
17,santona,43.4439,-3.4576,24.56,65,100,3.5,ES,1688821758
18,queenstown,-31.8976,26.8753,17.26,36,11,13.08,ZA,1688821758
19,hawaiian paradise park,19.5933,-154.9731,23.73,90,100,0.0,US,1688821758
20,stanley,54.868,-1.6985,22.06,82,20,2.06,GB,1688821758
21,mo i rana,66.3128,14.1428,15.74,76,75,3.09,NO,1688821759
22,al ghayzah,16.2079,52.176,31.19,65,100,4.68,YE,1688821759
23,reggane,26.7158,0.1714,47.32,7,0,5.64,DZ,1688821759
24,college,64.8569,-147.8028,9.99,93,100,6.69,US,1688821759
25,al hasaheisa,14.7526,33.2984,35.57,34,90,5.37,SD,1688821759
26,vorgashor,67.5833,63.95,12.54,77,100,3.52,RU,1688821760
27,thompson,55.7435,-97.8558,12.92,70,100,1.99,CA,1688821760
28,puerto ayora,-0.7393,-90.3518,25.31,89,92,3.13,EC,1688821760
29,east london,-33.0153,27.9116,21.41,43,98,10.43,ZA,1688821761
30,ambovombe,-25.1667,46.0833,24.49,56,2,3.65,MG,1688821761
31,saudarkrokur,65.7461,-19.6394,15.98,62,0,1.41,IS,1688821761
32,port alfred,-33.5906,26.891,17.32,71,19,4.47,ZA,1688821761
33,invercargill,-46.4,168.35,5.75,94,77,2.31,NZ,1688821526
34,la asuncion,11.0333,-63.8628,27.35,72,89,5.95,VE,1688821762
35,bethel,41.3712,-73.414,26.9,75,20,1.54,US,1688821762
36,enewetak,11.3474,162.3373,27.83,83,100,7.26,MH,1688821762
37,bel ombre,-4.6167,55.4167,26.05,86,64,8.11,SC,1688821763
38,nova vicosa,-17.8919,-39.3719,25.36,64,9,2.26,BR,1688821763
39,vila franca do campo,37.7167,-25.4333,21.23,54,91,1.96,PT,1688821763
40,atafu village,-8.5421,-172.5159,28.68,75,73,8.5,TK,1688821763
41,ilulissat,69.2167,-51.1,6.01,93,40,3.6,GL,1688821764
42,petropavlovsk-kamchatsky,53.0452,158.6483,11.83,96,100,1.39,RU,1688821764
43,iqaluit,63.7506,-68.5145,4.83,93,100,0.89,CA,1688821764
44,nuku'alofa,-21.1333,-175.2,16.19,100,20,0.0,TO,1688821765
45,constantia,44.1833,28.65,22.61,70,99,12.83,RO,1688821765
46,georgetown,5.4112,100.3354,28.96,74,40,1.03,MY,1688821602
47,raton,36.9034,-104.4391,14.19,84,0,1.69,US,1688821765
48,kodiak,57.79,-152.4072,5.73,100,0,2.57,US,1688821766
49,shimoda,34.6667,138.95,25.61,95,99,7.85,JP,1688821550
50,albany,42.6001,-73.9662,22.81,86,52,2.11,US,1688821766
51,margaret river,-33.95,115.0667,14.57,77,95,5.45,AU,1688821172
52,tamanrasset,22.785,5.5228,35.95,8,0,7.2,DZ,1688821767
53,qaqortoq,60.7167,-46.0333,7.17,81,32,2.34,GL,1688821767
54,bilibino,68.0546,166.4372,12.22,50,90,1.44,RU,1688821768
55,yima,34.7381,111.8839,31.04,34,100,1.99,CN,1688821472
56,aktau,43.65,51.2,38.32,27,0,5.71,KZ,1688821748
57,keflavik,64.0049,-22.5624,17.24,48,0,5.66,IS,1688821768
58,ushuaia,-54.8,-68.3,3.79,75,40,9.77,AR,1688821769
59,leua,48.2156,18.6071,30.28,37,57,1.43,SK,1688821769
60,pangoa,-12.1167,-73.0,21.79,91,26,0.81,PE,1688821769
61,mhamid,29.82,-5.72,43.68,6,0,2.9,MA,1688821769
62,hermanus,-34.4187,19.2345,11.0,72,47,11.25,ZA,1688821770
63,aasiaat,68.7098,-52.8699,3.88,96,100,3.69,GL,1688821770
64,jamestown,42.097,-79.2353,20.01,81,0,1.54,US,1688821770
65,bedele,8.456,36.353,19.0,82,37,1.11,ET,1688821770
66,papatowai,-46.5619,169.4708,6.62,91,100,3.22,NZ,1688821770
67,blackmans bay,-43.0167,147.3167,9.29,77,98,9.84,AU,1688821771
68,longyearbyen,78.2186,15.6401,7.91,81,75,6.69,SJ,1688821771
69,holualoa,19.6228,-155.9522,21.39,83,0,1.54,US,1688821771
70,tongouson,5.0214,120.1328,27.29,78,100,0.15,PH,1688821771
71,broken hill,-31.95,141.4333,9.66,68,0,4.03,AU,1688821772
72,merrill,45.1805,-89.6835,17.16,94,0,0.0,US,1688821772
73,dapaong,10.8639,0.205,31.34,47,91,3.34,TG,1688821772
74,rockland,41.1668,-74.0496,26.74,85,54,1.51,US,1688821773
75,harper,4.375,-7.7169,26.34,75,93,4.64,LR,1688821773
76,port elizabeth,-33.918,25.5701,16.17,70,34,10.28,ZA,1688821773
77,puerto natales,-51.7236,-72.4875,-5.75,86,0,5.14,CL,1688821773
78,whitehorse,60.7161,-135.0538,18.23,42,0,6.71,CA,1688821774
79,statesville,35.7826,-80.8873,26.41,58,0,2.06,US,1688821774
80,guerrero negro,27.9769,-114.0611,16.1,90,52,4.36,MX,1688821774
81,yellowknife,62.456,-114.3525,17.9,56,35,2.38,CA,1688821775
82,kiffa,16.6166,-11.4045,37.48,33,12,5.19,MR,1688821775
83,saint-pierre,-21.3393,55.4781,25.32,65,0,8.75,RE,1688821775
84,wake village,33.4268,-94.1063,26.14,84,43,1.99,US,1688821775
85,arbatache,36.6377,3.3713,29.18,66,20,5.14,DZ,1688821775
86,necochea,-38.5473,-58.7368,7.77,62,100,2.53,AR,1688821776
87,elverum,60.8819,11.5623,23.26,40,71,2.81,NO,1688821776
88,talnakh,69.4865,88.3972,21.23,65,100,1.5,RU,1688821776
89,bredasdorp,-34.5322,20.0403,11.82,73,11,10.35,ZA,1688821776
90,port augusta,-32.5,137.7667,10.4,73,0,2.43,AU,1688821777
91,petrolina,-9.3986,-40.5008,26.03,61,40,7.2,BR,1688821777
92,st. john's,47.5649,-52.7093,18.97,94,100,4.63,CA,1688821777
93,remire-montjoly,4.9167,-52.2667,27.02,83,75,1.03,GF,1688821778
94,shimokizukuri,40.8061,140.3861,23.39,79,100,0.87,JP,1688821778
95,caxias,38.7031,-9.2767,28.04,63,20,6.26,PT,1688821778
96,campo verde,-20.4167,-54.0667,25.06,42,8,4.95,BR,1688821778
97,pacific grove,36.6177,-121.9166,13.82,85,75,4.47,US,1688821778
98,new bern,35.1085,-77.0441,27.03,57,0,1.54,US,1688821779
99,ketchikan,55.3422,-131.6461,14.9,93,29,1.53,US,1688821779
100,nova sintra,14.8667,-24.7167,22.94,83,52,4.29,CV,1688821779
101,kotel'nikovo,47.6317,43.1461,31.42,33,100,2.49,RU,1688821780
102,morondava,-20.2833,44.2833,25.29,62,0,5.74,MG,1688821780
103,nishinoomote,30.7333,131.0,27.33,87,100,3.92,JP,1688821481
104,chonchi,-42.6128,-73.8092,7.56,98,100,2.68,CL,1688821780
105,pariaman,-0.619,100.12,27.03,84,75,2.08,ID,1688821781
106,arauca,7.0847,-70.7591,25.56,84,53,1.74,CO,1688821781
107,polyarnyy,69.1989,33.4478,8.73,76,100,5.97,RU,1688821781
108,hotan,37.0997,79.9269,26.5,33,100,3.12,CN,1688821781
109,mzimba,-11.9,33.6,20.41,42,33,3.95,MW,1688821782
110,miracema do tocantins,-9.5618,-48.3967,30.83,37,0,3.34,BR,1688821782
111,smithers,54.7804,-127.1743,11.18,100,0,1.03,CA,1688821782
112,i-n-salah,27.1935,2.4607,46.03,5,0,6.51,DZ,1688821783
113,garden city,42.3256,-83.331,22.22,72,100,2.57,US,1688821783
114,aykhal,66.0,111.5,16.84,57,100,4.19,RU,1688821783
115,labrador city,52.9463,-66.9114,16.62,59,100,2.26,CA,1688821789
116,blonie,52.1985,20.6171,31.1,29,56,1.79,PL,1688821789
117,fria,10.4167,-13.5833,29.01,63,65,0.72,GN,1688821789
118,port mathurin,-19.6833,63.4167,23.72,67,17,11.04,MU,1688821790
119,ancud,-41.8697,-73.8203,8.6,87,96,6.3,CL,1688821790
120,deqen,29.9618,90.7188,16.21,68,100,2.32,CN,1688821648
121,puerto colombia,10.9878,-74.9547,27.05,81,98,3.88,CO,1688821792
122,al minya,28.1099,30.7503,39.31,14,0,7.9,EG,1688821793
123,cafayate,-26.073,-65.9761,15.01,39,10,0.99,AR,1688821793
124,kailua-kona,19.6406,-155.9956,23.46,83,0,1.54,US,1688821793
125,bay roberts,47.5999,-53.2648,19.17,88,100,3.21,CA,1688821796
126,sisimiut,66.9395,-53.6735,10.25,81,100,2.6,GL,1688821796
127,marka,1.7159,44.7717,27.12,67,40,9.1,SO,1688821797
128,pyapon,16.2833,95.6833,28.35,81,21,3.03,MM,1688821797
129,lihue,21.9789,-159.3672,25.77,76,75,8.23,US,1688821797
130,thinadhoo,0.5333,72.9333,28.11,67,15,1.28,MV,1688821797
131,saipan,15.1355,145.701,28.39,100,40,6.17,MP,1688821703
132,berezovyy,51.6667,135.7,21.67,79,70,2.15,RU,1688821798
133,ilebo,-4.3167,20.5833,35.93,19,1,1.35,CD,1688821798
134,sur,22.5667,59.5289,34.97,48,54,1.52,OM,1688821798
135,illizi,26.4833,8.4667,39.31,8,0,8.96,DZ,1688821799
136,ghanzi,-21.5667,21.7833,23.47,17,0,0.45,BW,1688821799
137,mount isa,-20.7333,139.5,6.87,87,5,2.06,AU,1688821799
138,freetown,8.484,-13.2299,26.82,75,100,2.91,SL,1688821799
139,chiredzi,-21.05,31.6667,28.07,26,0,1.11,ZW,1688821800
140,kavaratti,10.5669,72.642,28.19,78,100,7.56,IN,1688821800
141,imbituba,-28.24,-48.6703,19.92,91,96,4.61,BR,1688821800
142,ar rutbah,33.0381,40.2848,37.6,9,0,5.87,IQ,1688821800
143,alofi,-19.0595,-169.9187,23.98,82,100,6.07,NU,1688821801
144,tiksi,71.6872,128.8694,2.04,72,100,6.12,RU,1688821801
145,haiku-pauwela,20.9219,-156.3051,23.36,88,100,5.14,US,1688821801
146,mbabane,-26.3167,31.1333,24.46,12,0,4.5,SZ,1688821561
147,saldanha,-33.0117,17.9442,13.5,64,21,9.88,ZA,1688821802
148,sisophon,13.5859,102.9737,30.3,63,83,2.65,KH,1688821803
149,amahai,-3.3333,128.9167,25.45,89,36,3.91,ID,1688821804
150,zeya,53.75,127.2667,18.76,92,100,2.45,RU,1688821804
151,alice springs,-23.7,133.8833,9.75,53,100,3.12,AU,1688821687
152,codrington,-38.2667,141.9667,11.83,76,100,10.22,AU,1688821805
153,bathsheba,13.2167,-59.5167,28.24,79,95,7.54,BB,1688821805
154,hadibu,12.65,54.0333,27.45,61,96,9.4,YE,1688821805
155,cooper's town,26.8667,-77.5167,29.39,73,95,7.19,BS,1688821806
156,nuuk,64.1835,-51.7216,9.34,81,40,2.57,GL,1688821806
157,avarua,-21.2078,-159.775,21.03,100,20,1.54,CK,1688821806
158,severo-yeniseyskiy,60.3725,93.0408,23.51,50,53,1.23,RU,1688821806
159,utrik,11.2278,169.8474,28.11,80,100,8.37,MH,1688821807
160,okhotsk,59.3833,143.3,12.7,96,100,4.83,RU,1688821807
161,rio grande,-32.035,-52.0986,15.06,89,100,6.33,BR,1688821807
162,chernyshevsk,52.5243,117.0174,19.55,82,100,2.44,RU,1688821807
163,sukumo,32.9333,132.7333,26.23,90,100,4.22,JP,1688821808
164,grand falls-windsor,48.9332,-55.6649,20.84,87,58,0.93,CA,1688821808
165,gao,16.6362,1.637,41.37,15,12,1.26,ML,1688821809
166,vadso,70.0744,29.7487,13.49,76,0,5.14,NO,1688821809
167,namibe,-15.1961,12.1522,22.26,67,0,3.98,AO,1688821809
168,bonthe,7.5264,-12.505,27.98,68,100,3.32,SL,1688821810
169,borogontsy,62.6683,131.1683,10.71,72,100,7.19,RU,1688821810
170,bokani,9.4333,5.2,32.36,52,84,2.75,NG,1688821811
171,kingston,17.997,-76.7936,30.13,66,8,0.45,JM,1688821811
172,ti port-de-paix,19.9333,-72.8333,27.53,71,0,6.23,HT,1688821811
173,santa maria da vitoria,-13.3947,-44.1886,28.46,36,0,1.83,BR,1688821812
174,yarkovo,57.4028,67.0786,24.3,46,52,4.44,RU,1688821812
175,ash shatrah,31.4117,46.1742,46.76,6,3,8.31,IQ,1688821812
176,noosa heads,-26.3833,153.15,11.85,54,0,2.99,AU,1688821812
177,labasa,-16.4167,179.3833,23.25,92,33,2.25,FJ,1688821813
178,pangody,65.85,74.4859,21.09,50,41,4.29,RU,1688821813
179,kokoda,-8.8785,147.7407,22.71,93,100,0.4,PG,1688821813
180,bardai,11.65,7.2333,33.72,34,88,1.78,NG,1688821814
181,volnovakha,47.601,37.4967,23.94,67,100,3.93,UA,1688821814
182,chinde,26.8418,88.0763,20.55,93,98,0.77,NP,1688821814
183,port blair,11.6667,92.75,26.02,89,75,2.06,IN,1688821814
184,iskateley,67.6803,53.1512,9.47,75,100,4.13,RU,1688821815
185,karapinar,37.716,33.5506,30.69,23,52,5.17,TR,1688821815
186,westport,41.1415,-73.3579,27.63,85,100,3.09,US,1688821815
187,idri,27.5,13.2667,38.36,10,0,8.29,LY,1688821816
188,wailua homesteads,22.0669,-159.378,25.44,82,75,8.23,US,1688821816
189,zhezqazghan,47.7833,67.7667,32.32,19,0,7.0,KZ,1688821816
190,olonkinbyen,70.9221,-8.7187,5.58,91,5,6.07,SJ,1688821816
191,markovo,57.3206,107.0881,21.45,57,100,3.25,RU,1688821817
192,hamilton,39.1834,-84.5333,25.8,74,0,2.57,US,1688821817
193,sogndal,61.2283,7.1003,25.21,43,20,1.54,NO,1688821817
194,tsiombe,-25.3,45.4833,28.27,35,0,1.68,MG,1688821817
195,oliver,49.1831,-119.5524,17.89,73,2,1.2,CA,1688821817
196,natal,-5.795,-35.2094,27.36,83,75,4.63,BR,1688821818
197,tofol,5.3248,163.0078,28.51,78,60,5.74,FM,1688821818
198,zakynthos,37.7914,20.8953,33.62,36,0,4.63,GR,1688821818
199,djibouti,11.5,42.5,39.95,18,26,5.07,DJ,1688821818
200,punta arenas,-53.15,-70.9167,-0.94,80,0,3.09,CL,1688821819
201,uturoa,-16.7333,-151.4333,27.29,70,1,8.31,PF,1688821819
202,mana,5.6592,-53.7767,26.01,87,46,2.89,GF,1688821819
203,atherton,53.5237,-2.4935,26.31,71,100,4.47,GB,1688821819
204,portland,45.5234,-122.6762,15.59,84,100,0.45,US,1688821820
205,suntar,62.1444,117.6319,15.08,73,3,0.59,RU,1688821820
206,talara,-4.5772,-81.2719,23.42,78,100,7.54,PE,1688821820
207,niafunke,15.9322,-3.9906,40.32,19,90,1.95,ML,1688821820
208,monywa,22.1167,95.1333,36.81,36,100,4.08,MM,1688821821
209,cannonvale,-20.2833,148.7,20.66,67,87,4.53,AU,1688821821
210,betio village,1.358,172.9211,28.83,79,26,6.12,KI,1688821821
211,new norfolk,-42.7826,147.0587,9.95,84,100,6.94,AU,1688821821
212,katsuura,35.1333,140.3,25.51,91,98,11.15,JP,1688821528
213,coronel suarez,-37.4547,-61.9334,6.37,68,100,2.49,AR,1688821822
214,mossendjo,-2.9506,12.7261,28.66,47,87,2.0,CG,1688821822
215,minas de marcona,-15.2119,-75.1103,12.12,81,48,3.97,PE,1688821822
216,williston,48.147,-103.618,15.73,54,28,2.01,US,1688821798
217,mazagao,-0.115,-51.2894,30.03,69,37,2.09,BR,1688821823
218,vila velha,-20.3297,-40.2925,25.97,67,0,4.12,BR,1688821823
219,dongola,19.1667,30.4833,42.53,10,94,5.63,SD,1688821823
220,puerto baquerizo moreno,-0.9,-89.6,24.43,81,98,6.9,EC,1688821824
221,hosszupalyi,47.393,21.7328,27.41,36,0,4.63,HU,1688821824
222,jumla,29.2747,82.1838,19.5,92,92,1.55,NP,1688821824
223,vendome,47.8,1.0667,31.09,39,74,3.93,FR,1688821824
224,sao joao da barra,-21.6403,-41.0511,24.05,50,3,4.08,BR,1688821825
225,culpeper,38.5004,-77.9664,27.54,81,40,2.57,US,1688821825
226,cabo san lucas,22.8909,-109.9124,28.17,57,0,1.54,MX,1688821825
227,kokshetau,53.2775,69.3883,25.7,36,61,6.59,KZ,1688821826
228,ad dawadimi,24.5077,44.3924,41.66,5,88,2.32,SA,1688821826
229,itoman,26.1247,127.6694,29.21,92,20,4.63,JP,1688821826
230,peniche,39.3558,-9.3811,25.72,78,4,3.56,PT,1688821826
231,anadyr,64.75,177.4833,7.28,93,75,2.0,RU,1688821827
232,argo,37.6333,22.7333,33.77,31,7,2.78,GR,1688821827
233,belyy yar,53.6039,91.3903,23.94,60,0,5.0,RU,1688821827
234,wenchang,30.904,118.4887,26.43,93,100,3.02,CN,1688821827
235,tura,25.5198,90.2201,24.61,96,100,2.15,IN,1688821801
236,cidade velha,14.9167,-23.6167,27.26,76,99,2.81,CV,1688821828
237,sabang,5.8933,95.3214,27.25,81,100,5.28,ID,1688821828
238,whistler,50.1164,-122.9695,13.64,88,62,0.42,CA,1688821828
239,nova olinda do norte,-3.8881,-59.0942,29.52,55,70,2.26,BR,1688821829
240,czempin,52.144,16.7641,32.17,27,0,1.49,PL,1688821829
241,tanout,14.9709,8.8879,38.01,22,13,1.9,NE,1688821829
242,n'zeto,-7.2312,12.8666,24.08,73,23,4.75,AO,1688821829
243,scarborough,54.2797,-0.4044,19.95,88,99,1.34,GB,1688821829
244,ahvaz,31.3203,48.6693,48.97,10,0,3.09,IR,1688821830
245,vico del gargano,41.8983,15.9576,25.19,45,6,3.08,IT,1688821830
246,saint croix,17.7397,-64.7388,26.64,90,100,7.72,VI,1688821830
247,geraldton,-28.7667,114.6,11.23,87,0,1.54,AU,1688821830
248,mangalia,43.8,28.5833,21.1,68,100,12.0,RO,1688821831
249,liwale,-9.7667,37.9333,29.57,25,95,2.48,TZ,1688821831
250,vera,-29.4593,-60.2126,16.42,89,100,3.77,AR,1688821831
251,temiskaming shores,47.4938,-79.7153,16.4,67,100,1.57,CA,1688821831
252,sucua,-2.4667,-78.1667,20.41,94,100,1.03,EC,1688821832
253,uliastay,47.7417,96.8444,20.27,40,98,1.95,MN,1688821832
254,karagandy,49.8019,73.1021,27.97,31,35,4.49,KZ,1688821832
255,kasongo-lunda,-6.4667,16.8167,35.56,17,4,1.75,CD,1688821833
256,taunsa,30.7048,70.6505,38.25,28,81,5.43,PK,1688821833
257,susuman,62.7833,148.1667,14.68,77,62,4.81,RU,1688821833
258,ca mau,9.1769,105.15,26.01,89,100,1.1,VN,1688821833
259,hede,33.7681,120.2517,28.64,90,3,6.36,CN,1688821834
260,lorengau,-2.0226,147.2712,25.15,88,100,4.2,PG,1688821834
261,dudinka,69.4058,86.1778,21.46,71,67,4.35,RU,1688821834
262,iquique,-20.2208,-70.1431,18.02,66,21,1.35,CL,1688821834
263,lyskovo,56.0328,45.0422,30.79,53,20,4.33,RU,1688821835
264,shache,38.4167,77.2406,31.0,17,96,1.71,CN,1688821835
265,novodvinsk,64.4165,40.8122,14.49,61,100,3.38,RU,1688821835
266,lebu,-37.6167,-73.65,10.12,81,100,4.9,CL,1688821835
267,loango,-4.6719,11.8312,23.22,77,100,3.04,CG,1688821836
268,kapustin yar,48.5831,45.7372,39.73,14,100,6.88,RU,1688821836
269,lahat,-3.8,103.5333,23.25,98,90,1.2,ID,1688821836
270,yung shue wan,22.2333,114.1167,31.43,78,100,4.57,HK,1688821836
271,mezhdurechenskiy,59.6,65.9333,23.22,38,22,3.47,RU,1688821836
272,hasaki,35.7333,140.8333,27.38,87,99,10.06,JP,1688821837
273,mujiayingzi,42.1167,118.7833,21.54,68,95,1.24,CN,1688821837
